siteid,sitename,reference,doi,collunitid,handle,discovery,analysisunitid,analysisunitname,labnumber,uncal14Cage,uncal14Cerr,>,materialdated,taxondated,elementdated,depth,notes,method,d13C,%C,%N,C:N
3807,Domebo,3339,,4722,DOMEBO,CARD,9419,Assemblage,AA-806,11010,710,FALSE,"Bone, Mammuthus cf. imperator (id. by M. Mehl), collagen",Mammuthus cf. M. imperator,,,mammoth bone bed with Clovis points in lower member of the Domebo Formation,accelerator mass spectrometry,,,,
3807,Domebo,3339,,4722,DOMEBO,CARD,9419,Assemblage,AA-816,4810,760,FALSE,"Bone, Mammuthus cf. imperator (id. by M. Mehl)",Mammuthus cf. M. imperator,,,mammoth bone bed with Clovis points in lower member of the Domebo Formation,accelerator mass spectrometry,,,,
3807,Domebo,"Hofman, 1988",,4722,DOMEBO,CARD,9419,Assemblage,SMU-610,10123,280,FALSE,"Wood, lignite",,,,"recovered while washing matrix for micro-vertebrates, within the excavation area but about 2 feet higher than the level of the bone bed",conventional radiometric,,,,
3807,Domebo,"Hofman, 1988",,4722,DOMEBO,CARD,9419,Assemblage,SMU-695,11045,647,FALSE,"Wood, cf. Ulmus alata (id. by Forest Products Laboratory, Madison, WI)",cf. Ulmus sp.,,,buried stump rooted in the lower member of the Domebo Formation about 100 feet downstream from the bone bed,conventional radiometric,,,,
3807,Domebo,"Hofman, 1988",,4722,DOMEBO,CARD,9419,Assemblage,Beta-24212,10980,70,FALSE,Wood,,,,buried stump rooted in the lower member of the Domebo Formation about 50 m downstream from the bone bed,conventional radiometric,,,,
3811,Heerwald [34CU27],Drass 1999,https://doi.org/10.1080/2052546.1999.11931951,4726,HEERWALD,CARD,80709,Assemblage,Beta-91819,680,50,FALSE,Charcoal,,,,"Feature 96, gully bottom, Turkey Creek Phase",accelerator mass spectrometry,,,,
3811,Heerwald [34CU27],Drass 1999,https://doi.org/10.1080/2052546.1999.11931951,4726,HEERWALD,CARD,80709,Assemblage,Beta-91820,390,50,FALSE,Charcoal,,,,"Feature 96-1, a pit, Turkey Creek Phase",accelerator mass spectrometry,,,,
3811,Heerwald [34CU27],Drass 1999,https://doi.org/10.1080/2052546.1999.11931951,4726,HEERWALD,CARD,80709,Assemblage,Beta-92843,420,70,FALSE,Charcoal,,,,"Feature 96-2, a burial pit, Turkey Creek Phase",accelerator mass spectrometry,,,,
3811,Heerwald [34CU27],Drass 1999,https://doi.org/10.1080/2052546.1999.11931951,4726,HEERWALD,CARD,80709,Assemblage,Beta-91821,640,80,FALSE,Charcoal,,,,"Feature 96-8, a pit, Turkey Creek Phase",accelerator mass spectrometry,,,,
3811,Heerwald [34CU27],Drass 1999,https://doi.org/10.1080/2052546.1999.11931951,4726,HEERWALD,CARD,80709,Assemblage,Beta-92844,420,80,FALSE,Charcoal,,,,"House area, Turkey Creek Phase",accelerator mass spectrometry,,,,
3811,Heerwald [34CU27],Drass 1999,https://doi.org/10.1080/2052546.1999.11931951,4726,HEERWALD,CARD,80709,Assemblage,Beta-7525,340,50,FALSE,"Charcoal, includes Zea mays",Zea mays,,,"Feature 83-33, gully fill, Turkey Creek Phase",conventional radiometric,,,,
3811,Heerwald [34CU27],Drass 1999,https://doi.org/10.1080/2052546.1999.11931951,4726,HEERWALD,CARD,80709,Assemblage,Beta-7526,530,50,FALSE,Charcoal,,,,"Bell-shaped pit, Turkey Creek Phase",conventional radiometric,,,,
3811,Heerwald [34CU27],Drass 1999,https://doi.org/10.1080/2052546.1999.11931951,4726,HEERWALD,CARD,80709,Assemblage,Beta-9011,520,50,FALSE,Charcoal,,,,"Feature 83-33, gully fill, Turkey Creek Phase",conventional radiometric,,,,
3815,Grant [34Gv2],Drass 1999,https://doi.org/10.1080/2052546.1999.11931951,4730,GRANTOK,CARD,80718,Assemblage,Beta-4627,670,50,FALSE,Charcoal,,,,,conventional radiometric,,,,
3815,Grant [34Gv2],Drass 1999,https://doi.org/10.1080/2052546.1999.11931951,4730,GRANTOK,CARD,80718,Assemblage,Beta-57061,690,80,FALSE,Bone,,,,,conventional radiometric,,,,
3818,Lawrence [34NW-6],University of Texas at Austin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200059506,4733,LAWRENCE,lit search,80721,Assemblage,Tx-815,2710,70,FALSE,charcoal,,,3.3-3.5 ft,,conventional radiometric,,,,
3818,Lawrence [34NW-6],University of Texas at Austin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200059506,4733,LAWRENCE,lit search,80721,Assemblage,Tx-816,3460,110,FALSE,charcoal,,,4-4.5 ft,,conventional radiometric,,,,
3818,Lawrence [34NW-6],University of Texas at Austin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200059506,4733,LAWRENCE,lit search,80721,Assemblage,Tx-817,3090,140,FALSE,charcoal,,,3.5-4 ft,,conventional radiometric,,,,
3818,Lawrence [34NW-6],University of Texas at Austin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200059506,4733,LAWRENCE,lit search,80721,Assemblage,Tx-818,3150,190,FALSE,charcoal,,,4-5 ft,,conventional radiometric,,,,
3819,Weston [OS-99],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4734,WESTON,lit search,80724,Unit III,WIS-449,960,60,FALSE,charcoal,,,,,conventional radiometric,,,,
3844,Delaware Canyon 34CD258D,"Ferring, C. Reid. ""Late Holocene Cultural Ecology In the Southern Plains: Perspectives From Delaware Canyon, Oklahoma."" Plains Anthropologist 31, no. 114 (1986): 55-82.; ""Rates of Fluvial Sedimentation: Implications for Archaeological Variability""",https://doi.org/10.1080/2052546.1986.11909335,4769,DECN258D,lit search,91799,Unknown,SMU-635,1010,64,FALSE,,,,Caddo paleosol,,,,,,
3844,Delaware Canyon 34CD258D,"Ferring, C. Reid. ""Late Holocene Cultural Ecology In the Southern Plains: Perspectives From Delaware Canyon, Oklahoma."" Plains Anthropologist 31, no. 114 (1986): 55-82.; ""Rates of Fluvial Sedimentation: Implications for Archaeological Variability""",https://doi.org/10.1080/2052546.1986.11909335,4769,DECN258D,lit search,91799,Unknown,SMU-636,1790,72,FALSE,,,,Caddo paleosol,,,,,,
3844,Delaware Canyon 34CD258D,"Ferring, C. Reid. ""Late Holocene Cultural Ecology In the Southern Plains: Perspectives From Delaware Canyon, Oklahoma."" Plains Anthropologist 31, no. 114 (1986): 55-82.",https://doi.org/10.1080/2052546.1986.11909335,4769,DECN258D,lit search,91799,Unknown,unknown,2750,73,FALSE,,,,"Unit B, buried hearth",,,,,,
3844,Delaware Canyon 34CD258D,"""Rates of Fluvial Sedimentation: Implications for Archaeological Variability"", Ferring 1986",https://doi.org/10.1002/gea.3340010303,4769,DECN258D,lit search,91799,Unknown,SMU-733,1410,100,FALSE,,,,Caddo paleosol,,,,,,
3846,Delaware Canyon 34CD258B,"""Rates of Fluvial Sedimentation: Implications for Archaeological Variability"", Ferring 1986",https://doi.org/10.1002/gea.3340010303,4771,DECN258B,lit search,91800,Unknown,UGa-2651,1705,70,FALSE,,,,Caddo paleosol,,,,,,
3846,Delaware Canyon 34CD258B,"""Rates of Fluvial Sedimentation: Implications for Archaeological Variability"", Ferring 1986",https://doi.org/10.1002/gea.3340010303,4771,DECN258B,lit search,91800,Unknown,UGa-2652,1800,90,FALSE,,,,Caddo paleosol,,,,,,
3846,Delaware Canyon 34CD258B,"""Rates of Fluvial Sedimentation: Implications for Archaeological Variability"", Ferring 1986",https://doi.org/10.1002/gea.3340010303,4771,DECN258B,lit search,91800,Unknown,UGa-2653,1750,95,FALSE,,,,Caddo paleosol,,,,,,
3849,Delaware Canyon 34CD257A,"Ferring, C. Reid. ""Late Holocene Cultural Ecology In the Southern Plains: Perspectives From Delaware Canyon, Oklahoma."" Plains Anthropologist 31, no. 114 (1986): 55-82.; ""Rates of Fluvial Sedimentation: Implications for Archaeological Variability""",https://doi.org/10.1080/2052546.1986.11909335,4774,DECN257A,lit search,91801,Unknown,UGA-2647,1015,85,FALSE,,,,Caddo paleosol,,,,,,
3849,Delaware Canyon 34CD257A,"Ferring, C. Reid. ""Late Holocene Cultural Ecology In the Southern Plains: Perspectives From Delaware Canyon, Oklahoma."" Plains Anthropologist 31, no. 114 (1986): 55-82.; ""Rates of Fluvial Sedimentation: Implications for Archaeological Variability""",https://doi.org/10.1080/2052546.1986.11909335,4774,DECN257A,lit search,91801,Unknown,SMU-597,500,87,FALSE,,,,Delaware Creek paleosol,,,,,,
3849,Delaware Canyon 34CD257A,"Ferring, C. Reid. ""Late Holocene Cultural Ecology In the Southern Plains: Perspectives From Delaware Canyon, Oklahoma."" Plains Anthropologist 31, no. 114 (1986): 55-82.; ""Rates of Fluvial Sedimentation: Implications for Archaeological Variability""",https://doi.org/10.1080/2052546.1986.11909335,4774,DECN257A,lit search,91801,Unknown,UGA-2648,1275,90,FALSE,,,,Caddo paleosol,,,,,,
3849,Delaware Canyon 34CD257A,"Ferring, C. Reid. ""Late Holocene Cultural Ecology In the Southern Plains: Perspectives From Delaware Canyon, Oklahoma."" Plains Anthropologist 31, no. 114 (1986): 55-82.; ""Rates of Fluvial Sedimentation: Implications for Archaeological Variability""",https://doi.org/10.1080/2052546.1986.11909335,4774,DECN257A,lit search,91801,Unknown,SMU-598,600,110,FALSE,,,,Delaware Creek paleosol,,,,,,
3849,Delaware Canyon 34CD257A,"Ferring, C. Reid. ""Late Holocene Cultural Ecology In the Southern Plains: Perspectives From Delaware Canyon, Oklahoma."" Plains Anthropologist 31, no. 114 (1986): 55-82.; ""Rates of Fluvial Sedimentation: Implications for Archaeological Variability""",https://doi.org/10.1080/2052546.1986.11909335,4774,DECN257A,lit search,91801,Unknown,UGA-2644,960,110,FALSE,,,,Caddo paleosol,,,,,,
3849,Delaware Canyon 34CD257A,"Ferring, C. Reid. ""Late Holocene Cultural Ecology In the Southern Plains: Perspectives From Delaware Canyon, Oklahoma."" Plains Anthropologist 31, no. 114 (1986): 55-82.; ""Rates of Fluvial Sedimentation: Implications for Archaeological Variability""",https://doi.org/10.1080/2052546.1986.11909335,4774,DECN257A,lit search,91801,Unknown,UGA-2645,970,110,FALSE,,,,Caddo paleosol,,,,,,
3849,Delaware Canyon 34CD257A,"Ferring, C. Reid. ""Late Holocene Cultural Ecology In the Southern Plains: Perspectives From Delaware Canyon, Oklahoma."" Plains Anthropologist 31, no. 114 (1986): 55-82.; ""Rates of Fluvial Sedimentation: Implications for Archaeological Variability""",https://doi.org/10.1080/2052546.1986.11909335,4774,DECN257A,lit search,91801,Unknown,UGA-2649,1900,115,FALSE,,,,Caddo paleosol,,,,,,
3868,Buffalo Village [46PU31],"Kentucky, Ohio, and West Virginia Radiocarbon Database",,4793,BUFFVILG,CARD,80836,Assemblage,UGa-301,1490,70,FALSE,Charcoal,,,,"feature 1, an earth oven, unit B-10",conventional radiometric,,,,
3868,Buffalo Village [46PU31],"Kentucky, Ohio, and West Virginia Radiocarbon Database",,4793,BUFFVILG,CARD,80836,Assemblage,UGa-303,780,70,FALSE,Wood,,,,"center post in House 31, a Type D structure associated with the Upstream Village",conventional radiometric,,,,
3868,Buffalo Village [46PU31],"Kentucky, Ohio, and West Virginia Radiocarbon Database",,4793,BUFFVILG,CARD,80836,Assemblage,M-1832,1850,120,FALSE,,,,,,conventional radiometric,,,,
3868,Buffalo Village [46PU31],"Kentucky, Ohio, and West Virginia Radiocarbon Database",,4793,BUFFVILG,CARD,80836,Assemblage,UGa-304,270,125,FALSE,"Seeds, charred nutshells",,,,"layer of bark over burial 131, in House 13, in the Downstream Village, Clover phase",conventional radiometric,,,,
3868,Buffalo Village [46PU31],"Kentucky, Ohio, and West Virginia Radiocarbon Database",,4793,BUFFVILG,CARD,80836,Assemblage,M-1934,3870,250,FALSE,"Seeds, Carya sp. nutshells and wood",Carya,,,"feature 2, a large Late Archaic oven or firepit, block 50W20, 31"" depth, Buffalo phase",conventional radiometric,,,,
3878,Cremer [24SW264],White et al. 1997,,4804,CREMER,CARD,80851,Cultural Layers III-V,Beta-88602,5100,70,FALSE,Charcoal,,,,,,-26.6,,,
3878,Cremer [24SW264],White et al. 1997,,4804,CREMER,CARD,80851,Cultural Layers III-V,Beta-103886,8200,80,FALSE,Bone,,,,,,,,,
3878,Cremer [24SW264],White et al. 1997,,4804,CREMER,CARD,80851,Cultural Layers III-V,Beta-88601,5920,80,FALSE,Bone,,,,,,,,,
3878,Cremer [24SW264],White et al. 1997,,4804,CREMER,CARD,80851,Cultural Layers III-V,Beta-100155,7490,100,FALSE,Bone,,,,,,,,,
3878,Cremer [24SW264],White et al. 1997,,4804,CREMER,CARD,80851,Cultural Layers III-V,Beta-100154,3730,110,FALSE,Bone,,,,,,,,,
3878,Cremer [24SW264],White et al. 1997,,4804,CREMER,CARD,80849,Cultural Layer I,RL-1296,1780,110,FALSE,Charcoal,,,,,,,,,
3880,NUZUM [14DP10],University of Wisconsin Radiocarbon Dates VII,https://doi.org/10.1017/S0033822200036377,4806,NUZUM,lit search,80853,Assemblage,WIS-326,860,55,FALSE,charred wood,,,"House 1, Feature 3",,conventional radiometric,,,,
3884,Sutter [14JN309],Katz 1973,https://doi.org/10.1080/2052546.1973.11908660,4810,SUTTER,CARD,80857,Assemblage,GaK-2793,1660,130,FALSE,Charcoal,,,,with a burned limestone concentration in the gray clay zone,conventional radiometric,,,,
3884,Sutter [14JN309],Katz 1973,https://doi.org/10.1080/2052546.1973.11908660,4810,SUTTER,CARD,80857,Assemblage,SM-1422,410,137,FALSE,Charcoal,,,,"Feature 7, one of more than 40 concentrations of burned limestone found within gray clay, not associated with artifacts",conventional radiometric,,,,
3884,Sutter [14JN309],Katz 1973,https://doi.org/10.1080/2052546.1973.11908660,4810,SUTTER,CARD,80857,Assemblage,SM-1423,7668,237,FALSE,Charcoal,,,,"charcoal concentration in square M2, gray clay zone, with bison bone, flakes, and a chipped stone scraper",conventional radiometric,,,,
3884,Sutter [14JN309],Katz 1973,https://doi.org/10.1080/2052546.1973.11908660,4810,SUTTER,CARD,80857,Assemblage,SM-1420,7990,245,FALSE,Charcoal,,,,charcoal from gray clay occupation zone,conventional radiometric,,,,
3884,Sutter [14JN309],Katz 1973,https://doi.org/10.1080/2052546.1973.11908660,4810,SUTTER,CARD,80857,Assemblage,SM-1421,7818,245,FALSE,Charcoal,,,,"Feature 3, a fire area with a layer of charcoal and ash overlying gray clay with no associated artifacts but thought to be cultural",conventional radiometric,,,,
3884,Sutter [14JN309],Katz 1973,https://doi.org/10.1080/2052546.1973.11908660,4810,SUTTER,CARD,80857,Assemblage,SMU-1422,410,137,FALSE,charcoal; charbon de bois,,,,"feature 7, one of more than 40 concentrations of burned limestone found within gray clay, not associated with artifacts",,,,,
3884,Sutter [14JN309],Katz 1973,https://doi.org/10.1080/2052546.1973.11908660,4810,SUTTER,CARD,80857,Assemblage,SMU-1423,7668,237,FALSE,charcoal; charbon de bois,,,,"charcoal concentration in square M2, gray clay zone, with bison bone, flakes, and a chipped stone scraper",,,,,
3884,Sutter [14JN309],Katz 1973,https://doi.org/10.1080/2052546.1973.11908660,4810,SUTTER,CARD,80857,Assemblage,SMU-1420,7990,245,FALSE,charcoal; charbon de bois,,,,"burned log in the gray clay zone, not associated with diagnostic artifacts but thought to relate to human occupation",,,,,
3884,Sutter [14JN309],Katz 1973,https://doi.org/10.1080/2052546.1973.11908660,4810,SUTTER,CARD,80857,Assemblage,SMU-1421,7818,245,FALSE,charcoal; charbon de bois,,,,"feature 3, a fire area with a layer of charcoal and ash overlying gray clay with no associated artifacts but thought to be cultural",,,,,
3896,Roberts Buffalo Jump [5LR100],Johnston 2016,,4829,ROBRTSBJ,CARD,80880,Assemblage,Aeon-1584,290,20,FALSE,"Bone, Bison",Bison sp.,,,Unit 20.4,accelerator mass spectrometry,-17.3,,,
3896,Roberts Buffalo Jump [5LR100],Johnston 2016,,4829,ROBRTSBJ,CARD,80880,Assemblage,Aeon-1583,165,25,FALSE,"Bone, Bison",Bison sp.,,,Unit 24.3,accelerator mass spectrometry,-12.1,,,
3896,Roberts Buffalo Jump [5LR100],Johnston 2016,,4829,ROBRTSBJ,CARD,80880,Assemblage,Aeon-1714,190,25,FALSE,"Bone, Bison",Bison sp.,,,Unit 21.3,accelerator mass spectrometry,-14.6,,,
3896,Roberts Buffalo Jump [5LR100],Johnston 2016,,4829,ROBRTSBJ,CARD,80880,Assemblage,Aeon-1715,210,25,FALSE,"Bone, Bison",Bison sp.,,,Unit 24.1,accelerator mass spectrometry,-11.4,,,
3896,Roberts Buffalo Jump [5LR100],Johnston 2016,,4829,ROBRTSBJ,CARD,80880,Assemblage,Aeon-1716,185,25,FALSE,"Bone, Bison",Bison sp.,,,Unit TT3,accelerator mass spectrometry,-12.1,,,
3912,Hosterman [39PO7],Johnson and Stanley 2007,https://doi.org/10.5479/si.00810223.47.1,4848,HOSTERMN,lit search,80920,Assemblage,ETH-10119,295,55,FALSE,charred corn cobs,,,,,,,,,
3912,Hosterman [39PO7],Johnson and Stanley 2007,https://doi.org/10.5479/si.00810223.47.1,4848,HOSTERMN,lit search,80920,Assemblage,SMU-2732,232,56,FALSE,charred corn cobs,,,,,,,,,
3912,Hosterman [39PO7],Johnson and Stanley 2007,https://doi.org/10.5479/si.00810223.47.1,4848,HOSTERMN,lit search,80920,Assemblage,SMU-2728,747,62,FALSE,charred corn cobs,,,,,,,,,
3912,Hosterman [39PO7],Johnson and Stanley 2007,https://doi.org/10.5479/si.00810223.47.1,4848,HOSTERMN,lit search,80920,Assemblage,SMU-2731,530,64,FALSE,charred corn cobs,,,,,,,,,
3916,Demery [39CO1],Johnson and Stanley 2007,https://doi.org/10.5479/si.00810223.47.1,4852,DEMERY,CARD,80924,Assemblage,USGS-168,495,45,FALSE,Unknown,,,,,accelerator mass spectrometry,,,,
3916,Demery [39CO1],Johnson and Stanley 2007,https://doi.org/10.5479/si.00810223.47.1,4852,DEMERY,CARD,80924,Assemblage,SMU-2800,509,47,FALSE,"Charcoal, charred wood, unidentified",,,,"Feature 65 in X 5, bell shaped pit",accelerator mass spectrometry,-25.47,,,
3916,Demery [39CO1],Johnson and Stanley 2007,https://doi.org/10.5479/si.00810223.47.1,4852,DEMERY,CARD,80924,Assemblage,SMU-2789,583,58,FALSE,"Seeds, Zea mays",Zea mays,seeds,,"Feature 67, bell shaped pit",accelerator mass spectrometry,-10.13,,,
3918,McKensey Village [39AR201],Smithsonian Institution Radiocarbon Measurements V,https://doi.org/10.1017/S0033822200064511,4854,MCKENSEY,lit search,80926,Assemblage,SI-382,510,100,FALSE,juniper wood,,,,tree ring date 1501 AD from same sample,conventional radiometric,,,,
3950,Red Horse Hawk [39CO213],University of Wisconsin Radiocarbon Dates XXIII,https://doi.org/10.1017/S003382220002021X,4886,RDHOHAWK,CARD,80962,Assemblage,WIS-1709,780,70,FALSE,Charcoal,,,,"feature 36, Level 3, trash-filled pit, Extended Middle Missouri",conventional radiometric,-26.5,,,
3950,Red Horse Hawk [39CO213],University of Wisconsin Radiocarbon Dates XXIII,https://doi.org/10.1017/S003382220002021X,4886,RDHOHAWK,CARD,80962,Assemblage,WIS-1710,780,70,FALSE,Charcoal,,,,"feature 18, Level 3, bell-shaped cache pit, Extended Middle Missouri",conventional radiometric,-26.9,,,
3957,Shipman [25WT7],University of Wisconsin Radiocarbon Dates XXIV,https://doi.org/10.1017/S0033822200043794,4893,SHIPMAN,lit search,80973,Assemblage,WIS-1796,810,70,FALSE,wood charcoal,,,,,conventional radiometric,-24.3,,,
3957,Shipman [25WT7],University of Wisconsin Radiocarbon Dates XXIV,https://doi.org/10.1017/S0033822200043794,4893,SHIPMAN,lit search,80973,Assemblage,WIS-1797,660,70,FALSE,wood charcoal,,,,,conventional radiometric,-26.8,,,
3957,Shipman [25WT7],University of Wisconsin Radiocarbon Dates XXIV,https://doi.org/10.1017/S0033822200043794,4893,SHIPMAN,lit search,80973,Assemblage,WIS-1798,690,70,FALSE,wood charcoal,,,,,conventional radiometric,-26.6,,,
3957,Shipman [25WT7],University of Wisconsin Radiocarbon Dates XXIV,https://doi.org/10.1017/S0033822200043794,4893,SHIPMAN,lit search,80973,Assemblage,WIS-1799,430,70,FALSE,wood charcoal,,,,,conventional radiometric,-26.6,,,
3957,Shipman [25WT7],University of Wisconsin Radiocarbon Dates XXIV,https://doi.org/10.1017/S0033822200043794,4893,SHIPMAN,lit search,80973,Assemblage,WIS-1800,620,70,FALSE,wood charcoal,,,,,conventional radiometric,-26.2,,,
3957,Shipman [25WT7],University of Wisconsin Radiocarbon Dates XXIV,https://doi.org/10.1017/S0033822200043794,4893,SHIPMAN,lit search,80973,Assemblage,WIS-1801,530,70,FALSE,wood charcoal,,,,,conventional radiometric,-26.9,,,
3957,Shipman [25WT7],University of Wisconsin Radiocarbon Dates XXIV,https://doi.org/10.1017/S0033822200043794,4893,SHIPMAN,lit search,80973,Assemblage,WIS-1814,670,70,FALSE,wood charcoal,,,,,conventional radiometric,-26.1,,,
3968,Owens [25FT3],University of Michigan Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200010511,4904,OWENS,lit search,80984,Assemblage,M-1364,5860,160,FALSE,charcoal,,,,,conventional radiometric,,,,
3979,Upper Sanger [32OL12],Thiessen 1993,,4915,UPSANGER,CARD,81005,Assemblage,SMU-1254,620,50,FALSE,Charcoal,,,,"T.2,Feature 2",conventional radiometric,,,,
3979,Upper Sanger [32OL12],Thiessen 1993,,4915,UPSANGER,CARD,81005,Assemblage,SMU-1277,650,50,FALSE,Charcoal,,,,"T.2,Feature 1",conventional radiometric,,,,
3983,Taylor Bluff [32ME366],Thiessen 1993,,4919,TAYLBLUF,CARD,81012,Assemblage,UGa-3076,555,60,FALSE,Wood,,,,"B terrace, 4.5 m depth, cutbank along Knife River at Taylor Bluff",conventional radiometric,,,,
3983,Taylor Bluff [32ME366],Thiessen 1993,,4919,TAYLBLUF,CARD,81012,Assemblage,SMU-710,3431,74,FALSE,Charcoal,,,,cultural layer on a low terrace,conventional radiometric,,,,
3983,Taylor Bluff [32ME366],Thiessen 1993,,4919,TAYLBLUF,CARD,81012,Assemblage,UGa-3075,2965,75,FALSE,Charcoal,,,,"A terrace, 1.8 m depth",conventional radiometric,,,,
3993,Legacy [32OL252],Thiessen 1993,,5074,PRDGHMLT,CARD,81022,Assemblage,Tx-4246,1230,570,FALSE,Unknown,,,,,conventional radiometric,,,,
3997,Paul Brave Site [32SI4],Johnson and Stanley 2007,https://doi.org/10.5479/si.00810223.47.1,5078,LEMOC,CARD,81026,Assemblage,DRI-3207,783,47,FALSE,Charcoal,,,,"Feature 15, pit in south end of X 5 (trench)",conventional radiometric,,,,
3997,Paul Brave Site [32SI4],Johnson and Stanley 2007,https://doi.org/10.5479/si.00810223.47.1,5078,LEMOC,CARD,81026,Assemblage,DRI-3208,674,62,FALSE,Charcoal,,,,"Feature 46, pit in north end of X 6 (trench)",conventional radiometric,,,,
3997,Paul Brave Site [32SI4],Johnson and Stanley 2007,https://doi.org/10.5479/si.00810223.47.1,5078,LEMOC,CARD,81026,Assemblage,DRI-3206,755,63,FALSE,Charcoal,,,,"Feature 32, pit in X 4",conventional radiometric,,,,
3997,Paul Brave Site [32SI4],University of Michigan Radiocarbon Dates XIV,https://doi.org/10.1017/S0033822200001077,5078,LEMOC,CARD,81026,Assemblage,M-2364,920,100,FALSE,Charcoal,,,,"fill of feature 42, a bell-shaped pit in front of House 2, representing the Fort Yates phase, Extended Middle Missouri",conventional radiometric,-25,,,
3997,Paul Brave Site [32SI4],University of Michigan Radiocarbon Dates XIV,https://doi.org/10.1017/S0033822200001077,5078,LEMOC,CARD,81026,Assemblage,M-2365,850,100,FALSE,Charcoal,,,,"fill of feature 42, a bell-shaped pit in front of House 2, representing the Fort Yates phase, Extended Middle Missouri",conventional radiometric,-25,,,
4019,Pretty Point [32OL8],Thiessen 1993,,4955,PRETTYPT,lit search,81050,Assemblage,SMU-1253,460,40,FALSE,charcoal,,,,,conventional radiometric,,,,
4019,Pretty Point [32OL8],Thiessen 1993,,4955,PRETTYPT,lit search,81050,Assemblage,SMU-1283,515,50,FALSE,charcoal,,,,,conventional radiometric,,,,
4021,Mandan Lake [32OL21],Thiessen 1993,,4957,MANDANLK,lit search,81052,Assemblage,SMU-1257,340,50,FALSE,charcoal,,,,,conventional radiometric,,,,
4021,Mandan Lake [32OL21],Thiessen 1993,,4957,MANDANLK,lit search,81052,Assemblage,SMU-1268,400,50,FALSE,charcoal,,,,,conventional radiometric,,,,
4021,Mandan Lake [32OL21],Thiessen 1993,,4957,MANDANLK,lit search,81052,Assemblage,SMU-1274,330,50,FALSE,charcoal,,,,,conventional radiometric,,,,
4021,Mandan Lake [32OL21],Thiessen 1993,,4957,MANDANLK,lit search,81052,Assemblage,SMU-1275,490,50,FALSE,charcoal,,,,,conventional radiometric,,,,
4022,Mahaha [32OL22],Thiessen 1993,,4958,MAHAHA,lit search,81053,Assemblage,SMU-1337,165,30,FALSE,charcoal,,,,date rejected by author,conventional radiometric,,,,
4022,Mahaha [32OL22],Thiessen 1993,,4958,MAHAHA,lit search,81053,Assemblage,SMU-1342,170,30,FALSE,charcoal,,,,date rejected by author,conventional radiometric,,,,
4022,Mahaha [32OL22],Thiessen 1993,,4958,MAHAHA,lit search,81053,Assemblage,SMU-1262,460,50,FALSE,charcoal,,,,,conventional radiometric,,,,
4022,Mahaha [32OL22],Thiessen 1993,,4958,MAHAHA,lit search,81053,Assemblage,SMU-1284,530,50,FALSE,charcoal,,,,,conventional radiometric,,,,
4022,Mahaha [32OL22],Thiessen 1993,,4958,MAHAHA,lit search,81053,Assemblage,SMU-1292,355,50,FALSE,charcoal,,,,,conventional radiometric,,,,
4085,Cascade House [5MT4512],UNIVERSITY OF TEXAS RADIOCARBON DATES XVI,https://doi.org/10.1017/S0033822200044131,5021,CASCHOUS,lit search,81124,Assemblage,Tx-3873,1630,80,FALSE,charcoal,,,,date inconsistent with ceramics and architecture,conventional radiometric,,,,
4085,Cascade House [5MT4512],UNIVERSITY OF TEXAS RADIOCARBON DATES XVI,https://doi.org/10.1017/S0033822200044131,5021,CASCHOUS,lit search,81124,Assemblage,Tx-3874,1420,80,FALSE,charcoal,,,,date inconsistent with ceramics and architecture,conventional radiometric,,,,
4115,Tamarran [5LP326],"Reed, Alan D. ""A RADIOCARBON DATE FOR THE TAMARRON SITE (5LP326): A BASKETMAKER II HABITATION IN THE ANIMAS VALLEY."" Southwestern Lore 78, no. 3 (2012).",,5056,TAMARRAN,CARD,81176,Assemblage,Beta-315861,1740,30,FALSE,"Bone, antler",Cervidae,,,"Charred antler from Feature 2, a large slab-lined storage cist in the eastern portion of the pithouse.",,-20.9,,,
4121,Hagen [24DW2],University of Wisconsin Radiocarbon Dates XV,https://doi.org/10.1017/S0033822200003970,5063,HAGEN,lit search,81185,Assemblage,WIS-863,490,55,FALSE,charred wood,Juniperus cf. scapulorum,,,Juniperus cf. scapulorum,conventional radiometric,,,,
4121,Hagen [24DW2],University of Wisconsin Radiocarbon Dates XV,https://doi.org/10.1017/S0033822200003970,5063,HAGEN,lit search,81185,Assemblage,WIS-864,780,55,FALSE,charred wood,Juniperus cf. scapulorum,,,Juniperus cf. scapulorum,conventional radiometric,,,,
4121,Hagen [24DW2],University of Wisconsin Radiocarbon Dates XV,https://doi.org/10.1017/S0033822200003970,5063,HAGEN,lit search,81185,Assemblage,WIS-865,775,55,FALSE,charred wood,Juniperus cf. scapulorum,,,Juniperus cf. scapulorum,conventional radiometric,,,,
4122,Pictograph Cave [Inscription Cave] [24YL1],Scott and Urbaniak 2014,,5064,PICTOGRF,CARD,81188,Units III and IV,Beta-316357,450,30,FALSE,"wood, hearth stick",,,,hearth stick,accelerator mass spectrometry,,,,
